               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.040598,            0.022362,           0.0042214,             0.78186,             0.58983,             0.69491,             0.37827,            0.037061,             0.01353,           0.0086834,           0.0067555,           0.0067555,           0.0067555
                 125,            0.042201,            0.023153,            0.003935,             0.67245,              0.6378,              0.6884,             0.38746,            0.039003,             0.01318,            0.011015,           0.0067101,           0.0067101,           0.0067101
                 126,             0.04232,            0.023451,           0.0041584,             0.90869,             0.56959,             0.70391,             0.40108,            0.039257,             0.01354,            0.009391,           0.0066647,           0.0066647,           0.0066647
                 127,            0.042357,            0.022468,           0.0043479,              0.8606,             0.58831,             0.67471,             0.36834,            0.041502,            0.014098,            0.014786,           0.0066191,           0.0066191,           0.0066191
                 128,            0.042634,             0.02393,           0.0042243,             0.66435,             0.70879,             0.70674,             0.38843,            0.038684,             0.01305,            0.011459,           0.0065734,           0.0065734,           0.0065734
                 129,            0.042906,            0.023016,           0.0050062,             0.80045,             0.58666,             0.68499,              0.3799,            0.041764,            0.013677,            0.015137,           0.0065276,           0.0065276,           0.0065276
                 130,            0.042668,            0.024152,           0.0052502,             0.76433,             0.67125,              0.7214,             0.39705,            0.036985,             0.01324,            0.014019,           0.0064816,           0.0064816,           0.0064816
                 131,            0.041699,            0.022975,           0.0043789,             0.74976,             0.66117,             0.72249,              0.4036,            0.037297,            0.013136,            0.010525,           0.0064356,           0.0064356,           0.0064356
                 132,            0.041905,             0.02412,           0.0049053,             0.95593,             0.53617,             0.67368,             0.38089,            0.041889,            0.013767,           0.0084816,           0.0063895,           0.0063895,           0.0063895
                 133,            0.041017,            0.023312,           0.0042156,             0.82754,             0.54518,             0.66373,             0.38222,            0.039211,            0.013558,           0.0084006,           0.0063432,           0.0063432,           0.0063432
                 134,            0.041064,            0.022642,           0.0035975,             0.81685,             0.57123,             0.67376,             0.38876,            0.039606,            0.013333,            0.011721,           0.0062969,           0.0062969,           0.0062969
                 135,            0.041068,            0.022816,           0.0030858,             0.75581,             0.62593,              0.7043,             0.40272,            0.039704,            0.013357,            0.009644,           0.0062505,           0.0062505,           0.0062505
                 136,            0.041219,            0.022722,            0.003679,             0.75781,             0.61475,             0.69318,              0.4238,            0.037864,            0.013417,           0.0093258,            0.006204,            0.006204,            0.006204
                 137,            0.041617,            0.023697,           0.0043266,             0.75109,             0.58779,              0.6601,             0.38898,            0.039856,            0.013028,           0.0071565,           0.0061574,           0.0061574,           0.0061574
                 138,            0.039941,            0.021221,           0.0044224,             0.80869,             0.63831,             0.70579,             0.36951,            0.039627,            0.012937,            0.013539,           0.0061107,           0.0061107,           0.0061107
                 139,             0.04153,            0.022906,            0.003394,             0.80049,             0.56723,              0.6961,             0.38249,            0.038121,            0.013009,            0.010505,            0.006064,            0.006064,            0.006064
                 140,             0.04167,            0.022067,           0.0041122,             0.80219,             0.57954,             0.69425,             0.39083,            0.037319,            0.013112,            0.010853,           0.0060172,           0.0060172,           0.0060172
                 141,            0.040379,            0.022889,           0.0030306,             0.79871,             0.56772,             0.66743,             0.38174,             0.04064,            0.013711,           0.0087885,           0.0059704,           0.0059704,           0.0059704
                 142,            0.040285,             0.02347,           0.0036656,               0.804,             0.55716,             0.65664,             0.38601,             0.03978,            0.014107,            0.014688,           0.0059235,           0.0059235,           0.0059235
                 143,            0.040993,            0.023485,           0.0035707,             0.89556,             0.52882,             0.69086,             0.40952,            0.038678,            0.013283,           0.0075534,           0.0058766,           0.0058766,           0.0058766
                 144,            0.040732,            0.023861,           0.0033252,             0.84048,             0.59192,             0.71862,             0.39682,            0.037639,            0.014003,            0.012079,           0.0058296,           0.0058296,           0.0058296
                 145,            0.040045,            0.022977,           0.0030403,             0.78821,             0.63635,             0.71476,             0.42347,            0.037571,            0.013213,            0.010009,           0.0057826,           0.0057826,           0.0057826
                 146,            0.040446,             0.02162,           0.0029383,             0.78999,             0.63837,             0.72165,             0.42532,            0.039481,            0.012765,           0.0075288,           0.0057355,           0.0057355,           0.0057355
                 147,            0.040951,            0.023886,           0.0028324,             0.78746,              0.5897,             0.70357,             0.40485,            0.040153,            0.013215,            0.013721,           0.0056884,           0.0056884,           0.0056884
